,RMSE,MAE
XGBoost,0.00583612933127736,0.004026521073820872
Gradient Boosting,0.005994938230659933,0.004134378295579903
Random Forest,0.00617981338526227,0.004445546793305504
GARCH,0.010953921215054728,0.009268560781526769
