,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.9237967914438503,0.5865384615384616,0.8133333333333334,0.6815642458100558,0.956235760277365
Random Forest,0.9024064171122995,0.5416666666666666,0.17333333333333334,0.26262626262626265,0.8993164933135215
XGBoost,0.9211229946524064,0.6904761904761905,0.38666666666666666,0.49572649572649574,0.8912332838038634
Gradient Boosting,0.9211229946524064,0.75,0.32,0.4485981308411215,0.8769886082218921
